
 Activation Function= tanh	 Epochs= 150	 Batch Size= 32	 Drop? =False	 Dropout rate= 0.15	 Result= 0.060738642654869925
 Activation Function= tanh	 Epochs= 150	 Batch Size= 32	 Drop? =False	 Dropout rate= 0.2	 Result= 0.06154322714313515
 Activation Function= tanh	 Epochs= 150	 Batch Size= 32	 Drop? =False	 Dropout rate= 0.25	 Result= 0.06141974243602116
 Activation Function= tanh	 Epochs= 150	 Batch Size= 64	 Drop? =True	 Dropout rate= 0.1	 Result= 0.06383757791512165
 Activation Function= tanh	 Epochs= 150	 Batch Size= 64	 Drop? =True	 Dropout rate= 0.15	 Result= 0.06497553338402363
 Activation Function= tanh	 Epochs= 150	 Batch Size= 64	 Drop? =True	 Dropout rate= 0.2	 Result= 0.06450809728538526
 Activation Function= tanh	 Epochs= 150	 Batch Size= 64	 Drop? =True	 Dropout rate= 0.25	 Result= 0.06762499727498646
 Activation Function= tanh	 Epochs= 150	 Batch Size= 64	 Drop? =False	 Dropout rate= 0.1	 Result= 0.06218212378071226
 Activation Function= tanh	 Epochs= 150	 Batch Size= 64	 Drop? =False	 Dropout rate= 0.15	 Result= 0.06320240650640643
 Activation Function= tanh	 Epochs= 150	 Batch Size= 64	 Drop? =False	 Dropout rate= 0.2	 Result= 0.061802532131048755
 Activation Function= tanh	 Epochs= 150	 Batch Size= 64	 Drop? =False	 Dropout rate= 0.25	 Result= 0.06198062310958731
 Activation Function= tanh	 Epochs= 150	 Batch Size= 128	 Drop? =True	 Dropout rate= 0.1	 Result= 0.06289017480471801
 Activation Function= tanh	 Epochs= 150	 Batch Size= 128	 Drop? =True	 Dropout rate= 0.15	 Result= 0.06412560640946441
 Activation Function= tanh	 Epochs= 150	 Batch Size= 128	 Drop? =True	 Dropout rate= 0.2	 Result= 0.0650186473163946
 Activation Function= tanh	 Epochs= 150	 Batch Size= 128	 Drop? =True	 Dropout rate= 0.25	 Result= 0.06661025525025581
 Activation Function= tanh	 Epochs= 150	 Batch Size= 128	 Drop? =False	 Dropout rate= 0.1	 Result= 0.06255266095405963
 Activation Function= tanh	 Epochs= 150	 Batch Size= 128	 Drop? =False	 Dropout rate= 0.15	 Result= 0.0632666350360485
 Activation Function= tanh	 Epochs= 150	 Batch Size= 128	 Drop? =False	 Dropout rate= 0.2	 Result= 0.06305009110838637
 Activation Function= tanh	 Epochs= 150	 Batch Size= 128	 Drop? =False	 Dropout rate= 0.25	 Result= 0.0630264708847701
 Activation Function= tanh	 Epochs= 150	 Batch Size= 256	 Drop? =True	 Dropout rate= 0.1	 Result= 0.06314105301376792
